Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Key
0.7069052330564443,-0.20976661744392822,-0.3003673216567303,-0.17164877084653252,-0.19418064889579778,-0.14875278203755318,-0.127157687616155,-0.21231038172562577,-0.2620715914054051,0.06583303295818486,4.0
0.4426574689447244,0.38882059879305264,-0.3608656284170231,-0.2727839109145933,-0.02279355439430161,0.11305542075640028,-0.14542620355544011,-0.4023105219030954,-0.4572340762268477,-0.2670247209164189,0.0
-0.08583805927871535,1.1370546190892787,-0.06905447230481175,-0.1649130210788531,0.1013186887367929,-0.018500977408579505,-0.10876154731402059,0.07271894287404136,-0.08742834782842962,2.288347985322446,0.0
-0.30604452937181525,1.7356418353262597,-0.20351402216507142,-0.190152853405704,-0.10807738626650622,-0.12064472130723972,-0.10241679327522696,-0.17958587091357,-0.09477852379659693,0.18358386843290017,0.0
-1.3630355858186947,1.5859950312670144,-0.31136945130984306,0.486949326747922,0.05341350601478587,0.0008307268067837612,-0.07313611802723106,-0.6597976870470643,-0.5850965123397583,-0.4558365181046334,0.0
-0.878581351613875,0.5384674028522979,-0.36803354716746695,-0.31274789444648565,-0.2808196931739539,-0.25860548773988584,-0.1375134930587837,-0.640815141629395,-0.5915279163119047,-0.6139920520265549,0.0
-0.5262509994649152,-0.20976661744392822,-0.3648100691591626,-0.27245426573836107,-0.20691334219822596,-0.23479665570777433,-0.008886367358527748,-0.06475893973674804,-0.22003777258744828,-0.15761136289906358,0.0
-0.7464574695580151,0.039644722654813815,-0.23188777868179117,-0.20747021333043933,-0.12812192324755653,-0.08666598966489876,-0.12168807206547083,-0.4963498189875617,-0.37829624890205077,-0.386058245230728,0.0
0.3986161749261044,-0.40929568952292184,-0.21544565749155845,-0.1349702509044218,-0.2722156702245408,-0.15234041426156997,-0.09308198273539266,-0.160021038826647,-0.1058037877488479,-0.16697499142809866,0.0
-0.041796765260095375,-0.2596488854636766,0.45141210027261985,-0.08900672516510214,-0.2504062054589955,-0.023452502874784516,-0.0920974519362695,-0.16252487150443776,-0.44613224794159495,-0.38503209415905293,1.0
-0.614333587502155,0.5384674028522979,-0.35410287880625513,-0.24859894315168568,-0.0111639409571828,-0.1391758794891447,-0.07054716666657389,-0.46484811018093863,-0.6416009900950446,-0.42466717930250286,1.0
-0.08583805927871535,-0.20976661744392822,-0.3642827534406137,-0.24314880957131213,-0.24763274751193193,-0.22210651858480582,-0.1207400053700189,-0.27880751935439385,-0.5926763813069308,-0.4424965541728573,1.0
0.31053358688886445,0.18929152671405902,-0.3601148738346823,-0.27354209481992753,-0.24769578064709247,-0.18370995883189872,-0.12380299007840204,-0.15629440414342358,-0.609290841568309,-0.3115340236503254,1.0
0.3986161749261044,0.5384674028522979,-0.3660613267963972,-0.25400512404189496,-0.2584429301919638,-0.07969827418850249,-0.11366596925780072,-0.39951554589067784,-0.48357220677944723,-0.3779773055412868,1.0
0.8390291151123042,0.039644722654813815,-0.35711185550531926,-0.30271569291648354,-0.2543772929741092,-0.19610359742395675,-0.08664606843742095,-0.4230981559954511,-0.426761471692154,-0.05922912890221538,1.0
0.26649229287024445,0.7379964749312915,-0.3564445180987941,-0.19063633299751134,-0.09818118404630213,-0.11343980700611506,-0.12371182981922398,-0.5510847658974058,-0.6472667507371735,-0.45109056939813613,1.0
-0.2179619413345753,0.6881142069115431,-0.34567476486402493,-0.21961214398832798,-0.2596720763275942,-0.1738662076056708,-0.06538749599709516,-0.5035119450193817,-0.44705101993761587,-0.48418394145965743,1.0
-0.30604452937181525,0.5384674028522979,-0.36262930584855374,-0.28199199950401477,-0.25409364386588684,-0.18750514002755286,-0.06841401660180707,-0.582295331369402,-0.2835861689788949,-0.09232250096373668,1.0
-0.08583805927871535,0.38882059879305264,-0.3722371769916051,-0.29789188517095133,-0.21542281544489825,-0.19583674874613732,-0.11751293219511526,0.061306124156669604,-0.4600669565479122,-0.3561715952681913,1.0
0.26649229287024445,-0.40929568952292184,-0.364348295507326,-0.1844170273392625,-0.2778256192538285,-0.18385820809735395,-0.07517810783281982,-0.3910141605195744,-0.668857892643665,-0.2684356786399721,1.0
0.8830704091309242,-0.9081183697204059,-0.3669491238818636,-0.31108868039278326,-0.2958846124773219,-0.2585758378867948,-0.14653835871741255,-0.5187678557538277,-0.7249029844009408,-0.5756396557226988,1.0
-0.08583805927871535,-0.8582361017006574,1.3060002122098957,-0.26424610085017747,-0.22544508393542342,0.1010768801076169,-0.1294002299919355,-0.593417006752147,-0.7451159683134009,-0.6209185717603617,3.0
-0.7464574695580151,-0.45917795754267027,0.25034989389327295,-0.1408489232138973,0.024134614732717108,0.0016312728402420559,-0.07100296796246425,-0.17673266623422706,-0.6038547739251853,-0.15248060754068818,3.0
-0.614333587502155,-0.40929568952292184,-0.3586610316276097,-0.2772451089662701,-0.2763128240099756,-0.24031152838270928,-0.1213781271842654,-0.5826447033709543,-0.6304225974767901,-0.3709225169235206,3.0
-0.041796765260095375,0.7379964749312915,-0.3270548595480339,-0.27576170567322483,-0.06839802768294909,-0.15907093091323787,-0.11381182567248563,-0.4913421536319802,-0.5600599754481884,-0.4767443461900131,3.0
0.31053358688886445,0.8377610109707883,-0.36292126596390845,-0.30181466276811536,-0.28305736947215293,-0.07507289710629901,-0.14342067785352258,-0.3603858817168318,-0.5754494063815387,-0.4662262977053436,3.0
0.5307400569819644,1.2368191551287755,-0.3605021678652549,-0.2712455667588427,-0.23215811283002044,-0.20037317626906767,-0.13900852130930402,-0.2777011746828119,-0.6007156362721139,-0.4088901065754985,3.0
0.5307400569819644,1.2867014231485239,-0.36795012999165133,-0.29885884435456594,-0.24608843570049882,-0.19047012533665766,-0.1015598868389531,-0.3938673651989173,-0.5207824726182942,-0.2227719559504311,3.0
0.5307400569819644,1.2867014231485239,-0.3714179011577015,-0.2712235904137606,-0.06458452300573668,-0.16265856313725466,-0.11713005910656736,-0.5236590637755584,-0.5830292753487112,-0.42582159925813734,3.0
0.4426574689447244,0.8377610109707883,-0.36883792707711777,-0.27583862288101235,-0.2507844042699587,-0.20529505188218164,-0.13953725081253682,-0.4441187047555083,-0.40088272713756495,-0.4110706776028081,3.0
0.31053358688886445,1.536112763247266,-0.37369995675322937,-0.30829768456735,0.02372489935417363,-0.07430200092593175,-0.12958255051029163,-0.022659613549708336,-0.311838407856538,-0.1405516013324654,3.0
0.3986161749261044,1.4363482272077692,-0.36467898502573803,-0.2959030259410166,-0.21110504568640157,-0.17976652837078935,-0.010709572542089136,-0.3011090987868091,-0.5906091443158837,-0.23136597117570987,3.0
0.3986161749261044,1.4363482272077692,2.612906043268076,-0.0324396129236444,0.33750384618331963,0.14718240166419647,-0.05887865349178101,0.0157713066210333,-0.7012446055034023,-0.551012030002497,0.0
0.8390291151123042,0.8377610109707883,-0.22650439165683184,-0.2254908162978035,-0.1358749988723024,-0.0989410288445926,-0.0709482718069574,0.20018149477366778,-0.5483456324989218,0.031072165405191567,2.0
0.8830704091309242,1.1370546190892787,-0.3679441716219502,-0.30614400274929915,-0.23196901342453885,-0.22367796079863136,-0.1423996829507282,-0.5380997731730491,-0.4557027895668128,-0.4881602768623984,2.0
0.7069052330564443,1.1370546190892787,-0.36698487410007036,-0.2957821560430648,-0.1758695231316622,-0.11326190788756878,-0.12495160934404571,-0.44243007341467266,-0.5873934423298106,-0.3008877062816965,2.0
0.8390291151123042,1.3864659591880208,-0.36969593231407866,-0.3253073756609352,-0.29219717407043055,-0.25534400389987055,-0.1551256551319867,-0.6967146618777464,-0.7402158510012894,-0.5118900203948845,2.0
0.7069052330564443,1.5859950312670144,-0.3612231305990901,-0.2875520148097991,-0.21495006693119426,-0.19764538978469126,-0.14785106644957674,-0.40056366189533443,-0.6111283855603509,-0.5808986799650336,2.0
0.3986161749261044,2.03493544344475,-0.36112779668387224,-0.26309234273336457,-0.0765923352538187,-0.0033202526259629526,-0.11723945141758105,-0.44638962276559757,-0.6079892479072794,-0.538698217142396,2.0
0.09032711679576456,0.7379964749312915,-0.2834068223025004,-0.20426166694844522,-0.25815928108374137,-0.25860548773988584,-0.09227977245462564,-0.5931258634175202,-0.5802729593606485,-0.5116334826269658,2.0
-0.6583748815207751,1.2368191551287755,-0.3572250645296405,-0.27316849695353096,-0.2658493235733267,0.02333496530288916,-0.10907149219522602,-0.6278883775719637,-0.47139847783217015,-0.5335674617840206,2.0
-0.614333587502155,1.2368191551287755,-0.3677088160187561,-0.30714392645053706,-0.2944033338010493,-0.17276916304130202,-0.14602786126601536,-0.5122462450581866,-0.3709460729338835,-0.4244106415345841,2.0
-0.30604452937181525,0.039644722654813815,-0.3671308541577477,-0.29713370126561706,-0.29317418766541886,-0.25365396227368087,-0.14074056623368733,-0.6514127590098117,-0.7088244744705747,-0.606039381221073,2.0
-0.7464574695580151,0.6881142069115431,2.307384678473594,0.18134627203552453,-0.07044660457566648,0.08850534239701256,-0.06259799206624624,-0.4179740333060189,-0.41504712874288735,-0.39349784050037234,0.0
-0.7904987635766351,0.5384674028522979,-0.22038812515863512,-0.2490055055357055,-0.20035789614153027,-0.09019432218273346,-0.09452231483040614,-0.6520532743459907,-0.6775096622728619,-0.38131229652423076,4.0
-1.3630355858186947,1.0871723510695304,-0.34251980810728344,-0.248060522697173,0.055493599475083547,-0.08189236331724004,-0.1043129266661308,-0.5202818010938871,-0.6469604934051665,-0.5140705914221941,4.0
-2.1117375841352346,2.1845822475039953,-0.3461514344401143,-0.2725201947736075,-0.09231910247637233,-0.1281164842861838,-0.1275587927565385,-0.6862335018311806,-0.39077623518133486,-0.5315151596406704,4.0
-1.8474898200235146,2.384111319582989,-0.3490561396694089,-0.22847959922897607,-0.261878236058213,-0.1620655660754337,-0.1517344934905625,-0.6313238689205604,-0.5021007753658691,-0.3887518917938751,4.0
-1.4951594678745548,2.384111319582989,-0.33976406212051674,-0.29723259481848674,-0.22758821053088163,-0.14807083541645907,-0.13702122765922212,-0.6321972989244409,-0.5621272124392355,-0.3157668968209851,4.0
-1.0987878217069749,2.03493544344475,-0.35802050688473963,-0.2552797520566597,-0.23946995650864258,-0.05105651610255016,-0.13955548286437244,-0.26890864597708164,-0.5760619210455526,-0.40504204005671696,4.0
-0.08583805927871535,1.2368191551287755,-0.36917159578038033,-0.3105612481108116,-0.263296481599325,-0.23426295835213548,-0.1331924967737432,-0.46065564616231225,-0.6317241911378197,-0.534337075087777,4.0
0.09032711679576456,1.785524103346008,-0.3727495967859012,-0.2952767001061753,-0.21290149003847683,-0.02469779670460853,-0.12411293495960747,-0.5340819951551989,-0.5851730766727601,-0.4558365181046334,4.0
0.09032711679576456,1.5859950312670144,-0.35876828228222984,-0.26190562009892837,-0.2679924501687849,-0.06662268897535034,-0.12263613876092275,-0.55492785791448,-0.5791244943656223,-0.5048352317771184,4.0
-0.2179619413345753,1.785524103346008,-0.36792629651284686,-0.25745541021979274,-0.24183369907716265,-0.0766146894670335,-0.10786817677407551,-0.5938828360875499,-0.5111353666600746,-0.5856446286715309,4.0
-0.7464574695580151,1.785524103346008,-0.3699551213960772,-0.2609936017780191,-0.2679924501687849,-0.22032752739934294,-0.13651073020782492,-0.6098957194920256,-0.6604358160134732,-0.18506090406637193,4.0
-0.922622645632495,1.2867014231485239,-0.36755985677622816,-0.25734552849438197,-0.17073232261607854,-0.21786658959278596,-0.11884387197911507,-0.6396505682908877,-0.7022399418324249,-0.2633049232815967,0.0
-1.6713246439490346,0.7379964749312915,2.6874094980108443,1.6084241926351908,1.3675598244092115,-0.21896363415715472,0.12289490330928939,-0.0686020317538222,-0.4631295298679819,-0.3192301566878885,0.0
-1.8034485260048945,0.4387028668128011,0.3040050130518327,-0.2645537696813276,-0.20250102273698847,-0.23076427568739183,-0.09145933012202302,-0.6887373345089713,-0.7411346229973103,-0.6360543000675691,0.0
-2.3759853482469544,0.8377610109707883,0.13240396565965942,0.29844722680576835,0.15650419856984177,0.4012519928013864,-0.08681015690394148,-0.41680945996751156,-0.645046385080123,-0.15081311204921616,0.0
-1.8034485260048945,0.6881142069115431,-0.26091397668078326,-0.28326662751877957,-0.19824628611365233,-0.18697144267191398,-0.1443687445489745,-0.19123160429864325,-0.5278263912544546,-0.4893146968180328,0.0
-0.6583748815207751,0.4387028668128011,-0.2674383915035065,-0.2847390426392837,-0.2665111714925123,-0.2599990308351651,-0.14365769452738555,-0.5286667291311399,-0.6641109039975569,-0.46276303783844014,0.0
-0.48220970544629516,-0.40929568952292184,-0.36953803551699904,-0.18687837798846346,-0.2618467194906327,-0.24443285796236494,-0.08958142878295479,-0.5540544279105994,-0.6590576580194419,-0.5168925068693005,0.0
-0.041796765260095375,-1.157529709819148,-0.33840555382866205,-0.19186700832211181,-0.27139623946745384,-0.21890433445097265,-0.12103171819938872,-0.5984246721077284,-0.6293506968147656,-0.49098219230950485,0.0
-0.08583805927871535,-0.9081183697204059,-0.3511505066193516,-0.3067153877214351,-0.2967670763695694,-0.15640244413504356,-0.12402177470042941,-0.5148665350698282,-0.7338610113621447,-0.4616086178828057,0.0
-0.614333587502155,0.08952699067456223,-0.3576927965511782,-0.29379329681313004,-0.14388020703769042,-0.1775131395358697,-0.13381238653615407,-0.6168831595230695,-0.6641109039975569,-0.496369485435799,0.0
-0.041796765260095375,0.4387028668128011,-0.36684187322724354,-0.29272744407664575,-0.2711441069268117,-0.24066732661980184,-0.12259967465725152,-0.431191940698077,-0.5729993477254829,-0.37040944138768306,0.0
-0.35008582339043526,1.536112763247266,2.5306209576956484,-0.29985876805580386,-0.2618467194906327,-0.1415182178833375,-0.14827040364179586,-0.662592663059482,-0.7673196248839064,-0.6272037470743715,0.0
-1.054746527688355,2.03493544344475,-0.3495447259849005,-0.2938152731582122,-0.28371921739133854,-0.07531009593102739,-0.12123227076958049,-0.6846030991572704,-0.7064509801475207,-0.5588364319240194,1.0
-0.878581351613875,1.3864659591880208,-0.3705718126601429,-0.3089240104021913,-0.2922286906380108,-0.19177471887266376,-0.08186927085649011,-0.6684155297520186,-0.668245377979651,-0.4778987661456476,1.0
-1.7153659379676547,2.384111319582989,-0.3603174584045203,-0.2941888710246088,-0.17735080180793478,-0.1985348853774227,-0.14312896502415276,-0.6992767232224626,-0.7102791967976079,-0.5072723405723467,1.0
-0.922622645632495,1.785524103346008,-0.35503238447962937,-0.2791460628158762,-0.2502171060535139,-0.20390150878690239,-0.12460520035916905,-0.5155652790729325,-0.3639787186307249,-0.5340805373198582,1.0
-0.35008582339043526,0.7379964749312915,-0.36937120116536776,-0.2691248494584151,-0.27372846546839363,-0.24155682221253327,-0.1461007894733578,-0.5266869544556775,-0.625981866162689,-0.5430593591970151,1.0
-0.614333587502155,1.2368191551287755,-0.3641486901223386,-0.2635208814624665,-0.29692465920747074,-0.06792728251135645,-0.14630134204354958,-0.6029665081279071,-0.6249865298336663,-0.5071440716883873,1.0
-0.041796765260095375,0.5883496708720463,-0.37224909373100734,-0.2957052388352772,-0.2613109378417681,-0.2196752306313399,-0.13875327258360542,-0.5728040586605674,-0.602476615931154,-0.3212824588312386,1.0
-0.48220970544629516,0.6881142069115431,-0.3706969384238663,-0.24541237311477374,-0.24684483332242524,-0.13644809300476826,-0.11054828839391075,-0.6463468649873048,-0.7008617838383935,-0.475718195118338,1.0
-0.614333587502155,1.1370546190892787,-0.3584822805365762,-0.2829259941700062,-0.26238250113949724,-0.20989077911129406,-0.13392177884716774,-0.6081488594842647,-0.676897147608848,-0.6101439855077734,1.0
-0.6583748815207751,0.5384674028522979,-0.30776463764066725,-0.16268242205301475,-0.2511626030809219,-0.18083392308206706,-0.12788696968957955,-0.5680293079726874,-0.6841707592440136,-0.49008431012178916,1.0
-0.6583748815207751,0.5384674028522979,2.4321708151240897,0.21984882861945382,-0.2585374798947046,0.3125099824998799,-0.07196926670975178,-0.5278515277941848,-0.6391509314389887,-0.3883670851419969,0.0
-0.6583748815207751,0.5384674028522979,2.0567220235172976,-0.06786548119607247,-0.12566363097629563,-0.09938577664095832,-0.1116604435558832,-0.6996260952240148,-0.7424362166583399,-0.621688185064118,0.0
-0.7904987635766351,0.5883496708720463,-0.35184167750468115,-0.30479245752674683,-0.23058228445100706,-0.2167695450284172,-0.09364717634229668,-0.614728698846831,-0.6502527597242415,-0.5915449973336625,3.0
-0.7904987635766351,0.5883496708720463,-0.3482875099779648,-0.22400741300475827,-0.18910648151537468,-0.1512433696972012,-0.08757590308103726,-0.6052956548049216,-0.5935951533029518,-0.5469074257157966,3.0
-1.3630355858186947,1.2368191551287755,-0.3707773764148314,-0.267223895608809,-0.17044867350785614,-0.05067106801236654,-0.11669248986251263,-0.6804688638055694,-0.5858621556697757,-0.5283084375416858,3.0
-0.922622645632495,2.0848177114644986,-0.3620215521390398,-0.32184610131049635,-0.25544885627183833,-0.13277151122147832,-0.13878973668727665,-0.5779281813499996,-0.5313483505725348,-0.41645797072910223,3.0
-1.3189942918000748,2.1845822475039953,-0.36829273624946557,-0.2522140519176996,-0.2074806404146708,-0.20407940790544865,-0.152135598630946,-0.6616027757217507,-0.7029290208294405,-0.49418891440848944,3.0
-1.3189942918000748,2.384111319582989,-0.36694316551216255,-0.3126270245485338,-0.2373898630483449,-0.16989312729147038,-0.11838807068322471,-0.7140668046215056,-0.6337914281288668,-0.5633258428625979,3.0
-0.878581351613875,1.8852886393855048,-0.3690285949075535,-0.27951966068227274,-0.2739490814414555,-0.22011997842770561,-0.11800519759467683,-0.6535672196860501,-0.6376196447789539,-0.5542187521014815,3.0
-0.878581351613875,1.4363482272077692,-0.36370777076445593,-0.3008586917570418,-0.2762182743072348,-0.1120462639108358,-0.07636319120213472,-0.5321604491466618,-0.7187778377608014,-0.5231776821833104,3.0
-0.48220970544629516,0.8377610109707883,-0.3702798525447881,-0.27212462056212877,-0.2912831936106028,-0.21842993680151587,-0.11660132960333455,-0.5606342672731659,-0.6108221282283439,-0.5043221562412809,3.0
0.26649229287024445,-0.1100020814044314,-0.35175826032886554,-0.25400512404189496,-0.2532426965412196,-0.22391515962335976,-0.1380786866656877,-0.2973242354366603,-0.5494175331609461,-0.26125262113824654,3.0
-0.1739206473159553,0.08952699067456223,-0.23460777445035114,-0.19358116323851962,-0.16553208896533436,-0.04474109739415695,0.018479942446728688,-0.6118754941674881,-0.5015648250348568,-0.38156883429214955,3.0
-0.922622645632495,0.5883496708720463,1.3956915513208117,0.29277732977457327,1.0943742166234505,1.19865514183203,-0.0046747633845009426,-0.1718996868794217,-0.3935325511693976,-0.28164737368778875,0.0
-0.922622645632495,0.5883496708720463,2.755096577815535,-0.1717916170895665,-0.05289187643345734,-0.12808683443309274,-0.12044829254064908,-0.5570240899237932,-0.7213810250828606,-0.5898775018421906,2.0
-1.054746527688355,0.8377610109707883,-0.3738310408866539,-0.24395094616681068,-0.2837507339589188,-0.16245101416561733,-0.12564442731379905,-0.5471834452134063,-0.4785189608013322,-0.44506193185204507,2.0
-1.2309117037628348,1.2368191551287755,-0.3485198863963084,-0.3081218738066928,-0.24369317656439846,-0.24173472133107957,-0.09547038152585807,-0.6244528862233671,-0.6255990444976802,-0.5734590846953893,2.0
-1.054746527688355,1.5859950312670144,-0.3668091021938874,-0.2823985618880346,-0.12616789605757991,-0.20490960379199802,-0.12389415033758011,-0.6373796502807985,-0.6642640326635604,-0.528693244193564,2.0
-0.30604452937181525,0.4387028668128011,-0.35670370718079275,-0.20872286500012197,-0.24703393272790683,-0.22225476785026105,-0.10648254083456886,-0.38490015049241094,-0.6288913108167552,-0.2919088844045395,2.0
-0.1739206473159553,0.5384674028522979,-0.37010408063860517,-0.265333929931744,-0.1648072079109882,-0.2192601326880652,-0.05605268545726086,-0.467934229527983,-0.6625796173375221,-0.18493263518241254,2.0
-0.08583805927871535,0.7379964749312915,-0.36983893318690547,-0.2816184016376182,-0.21876357160840665,-0.13600334520840254,-0.14114167137407085,-0.35275792634960884,-0.4942146490666895,-0.3006311685137777,2.0
0.09032711679576456,0.5883496708720463,-0.37144769300620706,-0.2709818506178569,-0.1861439241628295,-0.17730559056423237,-0.1240035426485938,-0.5489885338880927,-0.574760327384523,-0.31666477900870077,2.0
-0.08583805927871535,1.0871723510695304,-0.3698508499263077,-0.2847720071569069,-0.25434577640652895,-0.21098782367566285,-0.09162341858854355,-0.6272478622357847,-0.5718508827304568,-0.5552449031731567,2.0
-0.1739206473159553,1.1370546190892787,-0.35869380266096584,-0.19822916022339465,-0.11321458678208986,-0.16612759594890728,-0.07308142187172423,-0.378553225797546,-0.5861684130017827,-0.29408945543184906,2.0
-0.5262509994649152,1.0871723510695304,-0.29198091630240797,-0.1977127161139641,-0.09099540663800108,-0.17389585745876185,-0.14312896502415276,-0.4349185753813004,-0.44904169259566123,-0.4221018016233152,2.0
