Timestamp,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Signal,Key
123009,48,21,468675,174202,8577,19305,17146,23426,29425,10122,0,LB
123120,47,30,98163,25886,18034,23444,10977,18521,15862,14097,0,CT
124618,40,38,111774,21909,6006,1006,6429,3344,7732,1616,0,CT
125430,37,50,142530,22248,9191,6086,5007,7385,5564,3634,0,CT
125981,48,54,58951,4755,965,1237,3029,4567,3496,983,0,CT
127324,47,37,1534038,152404,19379,22001,21396,32967,50509,24748,0,CT
127904,37,24,789006,1193321,57484,53216,29428,40296,77430,27249,0,CT
128904,38,38,686906,42779,61679,54283,20426,43808,24538,9409,0,CT
130176,26,30,1326790,279322,12760,19910,8375,35570,43579,11082,0,CT
130919,37,37,26761,10946,10606,3386,10165,21065,27842,17737,0,UB
131882,69,47,44680,3491,6231,1389,8321,30720,7453,22177,0,UB
132920,80,26,941,6734,4104,6662,16412,18331,18558,11595,0,UB
133872,97,27,36540,10542,2211,2519,8930,21841,20173,5352,0,UB
134874,97,26,2151,6385,5434,4036,11287,13685,17843,18026,0,UB
135901,94,17,12281,17292,1857,4405,6217,39634,12404,5936,0,UB
136877,100,13,13134,7995,4915,5915,12023,41132,20729,10108,0,UB
137854,88,26,37738,49521,20191,4866,8795,25144,26311,6676,0,UB
138890,80,26,12289,12154,3606,2449,2597,4607,5814,1167,0,UB
139839,80,37,5896,8609,5773,3305,8702,28211,20897,13581,0,UB
140866,78,38,7824,4383,2069,2917,2316,18633,15583,7006,0,UB
141871,91,41,7518,2674,12768,3481,3312,34815,14918,6166,0,UB
142844,100,44,4315,6229,7835,2515,5824,15792,25008,7730,0,UB
143850,97,41,8272,11948,1211,4600,11199,16972,11851,4955,0,UB
144807,91,43,51687,17383,7015,2216,5318,22216,31331,13695,0,UB
145925,81,47,35923,3882,2835,2558,2066,4864,4522,6760,0,UB
147003,70,50,428801,22026,5152,16119,12857,10075,15505,6220,0,CT
148210,61,57,78146,62852,13885,15990,16581,20613,13110,4720,0,CT
148824,60,61,9173,16509,3564,9786,13211,21405,8765,6158,0,CT
150002,69,38,14179,14224,2862,1798,3755,35774,17805,16053,0,CT
150818,83,20,1410,10362,1796,4017,13381,24392,19716,8757,0,DB
154305,100,11,4258,3555,5437,1025,5631,31248,13588,4689,0,DB
156679,100,35,3566,2398,2724,11536,4780,20930,8130,6175,0,DB
159933,100,35,13703,11246,386,3395,4195,13690,12844,13092,0,DB
161885,93,38,3790,2752,857,1145,873,6505,5318,1633,0,DB
163553,77,21,2085,2596,1762,3804,6046,14935,33292,12140,0,DB
166968,93,30,5156,12753,12525,14052,18978,13741,30162,4620,0,DB
167821,70,57,3069,29448,467,4633,6954,20262,34604,7808,0,CT
168871,77,47,8471,4233,2774,3094,6831,26081,19185,4503,0,CT
169479,81,27,31323,25326,3969,5778,19955,23000,16562,6303,0,CT
170528,83,26,7468,3273,3168,7820,6435,7041,16493,9135,0,CT
171120,96,23,2503,3774,1052,1302,10555,20262,21092,3294,0,CT
171770,81,38,28711,22052,4656,15380,8777,12916,24065,5318,0,LB
172699,77,44,85539,36132,10619,3842,7976,19458,21579,7980,0,LB
173901,91,23,9933,3191,822,3208,10703,26251,21597,8268,0,LB
174700,83,34,11387,20294,6676,4753,10567,44145,32188,4285,0,LB
175669,96,24,4838,4105,1552,4554,4196,17481,21765,4846,0,LB
176774,100,24,9303,8957,16297,1812,5697,61630,9273,8682,0,LB
177740,100,37,18885,9607,2936,6677,2965,22427,15512,3496,0,LB
178677,100,41,10946,1316,1632,5531,5771,23751,31200,6837,0,LB
179670,97,48,9594,5394,198,5049,1894,6467,26460,7251,0,LB
180658,93,50,5290,8269,4232,2666,3234,14970,32293,9290,0,LB
181787,96,50,2978,5142,1179,6724,2590,22566,24094,19941,0,LB
182658,96,47,22322,5532,2270,3942,5856,28686,28234,6792,0,LB
183688,100,48,8951,6591,8674,2541,2178,13874,9260,9721,0,LB
184635,94,50,6277,19460,10612,2169,1204,20312,7943,15088,0,LB
185732,91,50,16970,9344,5449,3522,3209,19010,16474,7109,0,LB
186890,90,44,9418,8037,1251,2959,7880,23082,8386,7826,0,CT
187667,96,41,15730,2860,1294,7407,2995,21260,19517,12526,0,CT
188646,97,38,5484,13672,5002,3591,3278,16231,17979,7150,0,CT
