Timestamp,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Key
56870,84,74,84812,39509,12758,14324,8166,7849,5076,2988,4
57882,78,64,60522,42961,19079,10878,12954,6874,6729,1974,0
58914,81,56,19995,32283,1915,4450,2278,4875,4462,2223,0
59849,63,67,26830,44722,26228,6476,3222,3901,3575,2386,0
60860,64,69,745366,27386,25816,4774,19852,7505,3553,1857,0
61867,80,80,11201,7569,1431,14487,6021,6659,3457,1622,0
62828,83,75,536923,443169,21136,58863,91896,96100,7605,1952,0
63833,83,75,526439,97472,72700,45741,61280,62291,62519,43765,1
64852,83,75,97656,5215,308,3691,287,890,472,359,1
65816,88,83,31085,17396,19667,4542,1240,3297,2895,1165,1
66824,78,57,60579,51747,5628,2296,7870,3470,2444,1132,1
67860,56,53,20113,24914,19791,2778,8899,2806,2692,1225,1
68806,43,90,20638,7230,13384,1720,6550,1373,1870,3655,1
69821,51,81,85985,29921,14420,12054,2612,7376,1819,1355,1
70816,53,100,36153,26751,9841,5462,4286,2780,1568,977,1
71785,57,96,28892,24490,4513,8804,1589,3279,1458,1918,1
72803,75,96,12246,4672,8421,2394,1551,3878,1612,2574,1
73820,61,74,52179,49074,4928,3466,2036,3031,871,1321,1
74812,81,74,6855,7973,974,4964,1597,3880,2028,1587,1
75787,97,63,10965,8221,876,3196,3087,3612,2041,732,1
76777,100,41,3466,7182,1107,3930,3503,5739,1791,1080,1
77791,100,57,3504,6128,2522,2419,1875,2426,1971,1454,1
78772,100,53,15539,5206,3582,775,2392,7661,633,1263,0
79805,100,44,18978,19257,3178,1209,2455,2881,1969,1372,0
80789,94,54,10502,6502,4539,1248,2910,3499,1080,1529,0
81751,87,54,4645,11502,4909,3021,3021,2377,1520,984,0
82756,75,54,8955,9480,3594,1536,3834,3660,1819,1959,0
83761,75,54,710330,126637,46596,41315,69024,19420,3717,2013,3
84730,75,54,38614,1312,338,184,130,111,99,51,3
85745,75,54,155941,150156,56190,10194,8718,10214,8341,22675,3
86777,87,70,7694,3897,1430,3284,2581,3604,1362,1727,3
87720,87,64,12518,8815,931,3142,1052,3570,1774,1599,3
88721,97,54,6327,6191,923,2179,2514,3796,2051,1907,3
89726,100,53,3008,3274,1625,3251,6670,6514,1695,2048,3
90709,100,64,2936,1291,3505,679,803,1363,314,544,3
91711,97,70,2134,10244,4215,3017,1690,2739,1618,3341,3
92711,81,78,6044,18929,6761,2077,2151,2170,1337,1446,3
93685,69,91,7697,5349,4654,2669,1606,3297,1117,1427,3
94687,69,80,2825,5327,1225,3922,1669,2527,1353,1360,3
95704,84,74,4688,2489,1530,1665,2316,3405,1029,1531,3
96669,88,87,2168,8988,6718,4129,2109,2195,1733,1472,3
97673,87,87,8001,1849,71,3863,2526,1280,831,861,3
98712,77,83,141038,31876,7600,9389,2564,3593,2646,1203,3
99666,50,67,42062,52273,4392,3677,2144,2977,662,1127,0
100660,53,47,15398,35729,3456,7853,8186,7472,1082,834,0
101664,40,27,5513,18676,2751,1400,854,1347,2486,1594,0
102719,44,35,10674,13116,8467,12489,10979,5256,5122,4960,0
103670,44,35,819911,115107,85314,22893,30921,70932,101984,41397,2
104672,44,35,184997,5505,1953,3076,1006,1250,792,218,2
105673,57,56,19560,8122,2256,4598,2162,2436,2006,1612,2
106670,63,54,3883,7540,1470,1060,2991,2703,2353,1009,2
107650,81,66,6084,5110,269,4230,2447,3268,583,1811,2
108661,94,35,10000,7024,65,1463,2632,4150,1757,944,2
109661,100,37,11395,6452,4374,3778,3222,3966,1222,1284,2
110637,100,47,80576,13108,3795,4434,6561,5957,1720,729,2
111623,100,34,3026,12997,2036,1864,1409,7494,2636,1289,2
112613,97,69,7550,2296,5226,667,1017,2577,1773,731,2
113626,100,57,10843,2189,486,2242,3226,2872,1399,1162,2
114625,100,74,5891,2070,3481,1579,1153,2058,1202,2544,2
115600,100,70,9992,6115,927,981,2650,2641,1957,1348,2
116602,93,63,7918,9601,7868,3443,6283,1925,1841,828,2
117619,88,67,635,6218,3404,932,1931,3823,1295,1086,2
118585,69,47,37914,33631,9097,1078,1504,2527,3640,960,2
119581,60,38,44087,27060,873,2060,4066,3932,1028,524,0
120611,80,24,8302,4310,1661,1350,732,4613,1334,1989,0
121564,78,34,7135,4015,5490,6473,7201,5247,1988,2666,0
122568,90,47,33999,8956,4972,1816,424,2616,1300,648,0
123572,90,47,266748,32467,20271,5766,7795,15198,17191,11826,4
124581,90,47,313608,5656,1008,576,1400,3313,405,438,4
125551,88,74,46748,32375,15561,3975,2994,5393,1753,1556,4
126557,61,77,68319,46659,11332,15262,13172,4020,3559,736,4
127561,53,70,6023,11220,5455,2059,2260,2708,2565,711,4
128539,57,69,2449,3626,2351,1851,2712,2293,1638,957,4
129538,61,63,6653,5764,856,1734,848,1285,657,1767,4
130564,66,64,14906,7334,3923,2512,5170,1271,3610,1680,4
131517,83,64,7233,2121,880,2113,1894,3132,676,1396,4
132544,88,70,10622,2917,5004,2369,1737,5467,841,1401,4
133573,96,70,14121,6436,1880,2171,2244,3530,654,1488,4
134501,100,60,4438,3997,850,701,1081,2910,1186,1532,4
135505,100,54,4657,2116,1136,1027,1207,3461,1341,832,4
136517,100,51,6049,2763,3100,1264,712,3903,1665,3988,4
137489,100,56,4244,5241,789,4764,3453,2482,575,1155,4
138515,100,66,7420,6363,1614,4656,5845,4038,1056,1911,4
139521,77,50,120131,36825,1331,2566,2753,1117,1165,372,0
140493,63,41,1382383,27465,14308,6290,25695,7477,1551,1958,0
141499,38,16,23812,34818,2395,1003,2722,843,369,618,0
142503,38,13,4587,7167,872,4782,6194,3650,1666,1309,0
143480,38,13,294505,15400,5248,5279,2782,6929,1457,2335,1
144475,38,13,435318,11236,4200,4023,4275,2476,682,295,1
145486,66,38,20548,5421,2512,4898,2950,5125,2509,1466,1
146458,70,35,7379,4826,774,1928,1690,2025,1569,1360,1
147467,94,48,6386,5996,1456,621,3153,1870,882,899,1
148466,91,63,2884,4745,3370,4745,1099,2384,3079,2280,1
149447,94,56,1640,4362,2452,1003,1972,4623,1404,967,1
150435,91,70,4151,5120,5058,597,237,2098,874,620,1
151452,84,97,18474,4236,16891,2970,2102,2638,1001,775,1
152423,84,100,3238,2644,1423,6227,464,1995,1017,1073,1
153432,83,100,11537,4544,2169,3663,3513,5301,1540,931,1
154435,87,90,2502,3768,1545,2230,815,2212,1202,1316,1
155414,96,80,455,2456,3105,4611,2114,3056,1051,989,1
156416,100,63,3988,7538,2069,2875,1692,3899,1010,1030,1
157417,91,57,28083,11946,3647,1980,2318,3571,1263,2529,1
158394,81,44,33709,30709,5707,1826,5424,4068,514,1427,1
159390,63,17,56511,33310,2549,2374,2428,1929,1284,1368,0
160400,57,21,1649,3225,3797,904,4718,1639,924,2316,0
161402,60,34,16521,6536,7365,1898,2397,4020,1976,661,0
162379,70,35,2260,7044,1622,1317,2633,3136,401,1807,0
163386,70,35,472388,489374,23813,111390,112562,97570,29678,34642,3
164388,70,35,70716,2795,534,544,276,208,91,52,3
165368,90,51,48452,2786,1361,3091,6048,1946,1439,909,3
166368,94,40,8749,5033,1266,955,3201,2685,959,953,3
167389,94,23,5115,7494,1130,1231,1688,2523,1965,704,3
168368,100,10,3671,8069,393,1022,2780,5914,1333,521,3
169373,94,8,6558,7062,2387,2202,3430,1681,1390,554,3
170377,87,7,1160,8349,752,1004,828,1455,1116,766,3
171358,87,29,2583,2205,2693,5512,1499,2983,1904,1590,3
172340,87,54,4212,2965,4705,1856,2045,5534,780,1122,3
173364,88,63,3866,6401,1609,6736,2461,2592,1879,622,3
174337,84,66,10799,21375,3922,2867,6858,2776,1694,1439,3
175342,90,40,13597,6762,578,1703,2825,4535,1460,1920,3
176344,80,40,9590,6069,3702,3010,3583,2453,1568,1196,3
177321,87,30,1176,2845,1629,2112,3735,2213,1124,732,3
178327,83,44,16407,20360,12278,6590,8219,2746,1872,1888,3
179388,66,67,7954,15253,15881,5081,3062,3431,1611,1581,0
180290,47,64,59578,43382,10635,8037,3017,1931,2064,1264,0
181307,26,54,61898,38062,4672,3255,2038,2275,1054,1405,0
182306,44,29,3211,5138,262,578,3789,2463,1249,2639,0
183291,53,24,4431,5673,461,6126,2109,2363,1638,1843,2
184301,53,24,155384,63656,30046,34738,21365,28604,13410,10087,2
185321,53,24,574470,46342,11086,7726,4396,1284,2623,4546,2
186273,84,21,109819,3256,1986,1925,4802,4921,3180,4985,2
187277,100,41,5522,7522,9225,1066,1411,4166,6436,1282,2
188280,96,70,17282,10983,13811,2177,2865,6320,1215,1546,2
189257,87,74,4995,7778,5117,5705,5407,1763,2452,2124,2
190290,83,87,2639,2652,7208,2149,2783,5511,1285,1748,2
191266,93,80,6246,1245,2324,954,1563,4007,1173,514,2
192263,94,80,3606,2451,4128,2061,2027,2486,2067,737,2
193241,100,60,8867,2213,1022,215,848,5357,1087,997,2
194271,100,48,9946,2813,1651,981,2147,1839,1217,1094,2
195268,96,43,4785,13924,3856,2610,373,6755,1330,1800,2
196221,97,35,2846,3850,1060,3023,625,4194,1861,738,2
197233,81,41,22562,8895,1355,1828,2985,2063,1522,1020,2
198249,66,44,85025,30535,10394,8919,2418,3767,1923,839,2
199230,63,48,32744,7627,3463,2990,4763,3331,1643,1289,0
200228,60,48,28504,3992,500,2955,939,2514,2628,1298,0
201235,67,54,4254,3742,2097,1248,1283,3617,1399,1245,0
202209,69,61,6503,7143,3021,5975,651,1618,939,2558,0
203212,69,61,1731425,896635,550828,582958,1433520,312986,173018,155568,4
204225,69,61,20583,8498,1628,1121,738,328,125,103,4
205203,75,64,126524,6140,5903,304,2342,4888,858,754,4
206199,74,67,3834,4591,4051,661,724,2728,2947,1505,4
207197,75,70,1547,2031,2296,3325,2119,5201,1100,1078,4
208166,81,64,2827,6335,1361,3995,1567,2122,678,794,4
209180,78,74,5708,2431,2419,4191,1996,2363,810,1557,4
210178,75,57,56784,22913,3847,2417,4975,5771,1125,1493,4
211164,74,44,10964,6428,1909,823,1793,5523,648,1229,4
212166,75,48,2853,4832,3757,3089,2134,2775,964,1188,4
213173,87,30,11585,2598,1830,270,2153,4205,723,536,4
214149,96,43,5675,1747,2814,545,2622,2841,1698,975,4
215145,87,60,5785,7404,7496,1870,3318,3768,908,982,4
216148,93,53,3641,3465,1446,3029,2598,3368,1003,1878,4
217128,87,48,4119,7543,837,998,1104,4114,1222,519,4
218155,78,48,10509,10755,2145,6612,1907,4933,1645,1460,4
219165,70,63,10342,6073,15681,7938,1146,3016,1136,718,0
220112,56,57,54851,53325,13331,8196,3323,6699,609,1099,0
221115,56,63,5359,6198,2480,557,1706,3632,1211,701,0
222147,51,60,8476,14625,5583,2491,1098,3112,1731,483,0
223105,51,60,703020,108260,130737,175048,39204,43034,26917,4493,0
224103,51,60,135536,22438,2802,1137,940,810,234,117,1
225114,60,34,41131,8877,706,2542,870,3244,524,614,1
226090,64,41,11780,6845,3825,3950,2995,2531,1588,2140,1
227113,61,38,3448,10374,714,1710,403,3536,936,987,1
228195,66,38,2088,3855,945,3038,2512,1893,1207,462,1
229085,67,51,575,2218,2979,4557,4340,3238,1807,663,1
230091,64,53,5213,9466,10794,1565,3591,2678,2185,883,1
231128,60,53,2438,10029,1606,612,1410,1748,1094,2474,1
232122,53,57,6877,10451,8309,2655,2565,2462,676,1330,1
233072,51,51,3466,4790,4293,1011,3524,3149,1166,1441,1
234077,50,44,5433,10144,2125,3536,1688,1672,1102,552,1
235109,50,64,5875,6880,9200,3949,3098,2626,886,1421,1
236053,56,74,2105,3664,8562,843,912,2872,1267,1437,1
237062,61,78,7569,2515,3988,2061,2299,4044,1191,657,1
238064,57,75,24365,23719,8107,2416,4144,2987,1940,1509,1
239041,66,57,2736,11246,200,4586,2006,6601,475,612,0
240048,67,56,7755,2996,6493,2200,1009,3208,1052,1323,0
241049,43,47,167447,95683,15186,14994,14879,4497,1597,2468,0
242028,37,35,64406,29012,3653,713,700,1380,328,321,0
243057,11,34,1449178,160453,12355,23053,14337,4508,4992,4543,0
244029,8,17,1021039,116763,40505,43621,80358,40815,18653,14084,0
245007,8,17,557421,33978,37897,11331,31399,33324,16821,14786,0
246060,8,17,173043,11498,3210,3036,1022,3075,6653,2365,0
247046,17,4,220529,120154,4034,451,26228,13520,22826,5858,0
248976,29,27,104464,11039,10404,5779,6129,3675,3051,1405,0
250288,41,43,7807,9887,1342,2185,2007,2076,3237,2204,0
250997,56,75,7487,9877,20242,7624,7341,17075,10445,4569,0
252089,53,67,208518,24219,2687,8477,2964,3352,6198,1706,0
253119,57,80,688183,12431,20635,8621,2080,8808,11112,3540,0
254162,50,74,453209,141943,17827,1465,8801,9886,3278,2902,0
255483,41,66,628100,126627,35295,36227,25072,33099,9794,5298,0
256014,37,66,811231,24885,10137,1578,2762,1949,1515,556,0
257396,27,63,416717,28424,32543,6994,8128,6648,1560,4182,0
258198,23,69,903603,33652,3135,6086,5988,1621,1848,854,4
259033,11,50,67437,30751,1040,875,2744,1586,1230,871,4
