Timestamp,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Signal,Key
57376,93,54,26058,7342,3054,3465,2024,2947,1518,2388,0,LB
57388,90,50,14295,13844,1729,4652,6000,14290,4240,11313,0,CT
58315,91,30,34117,43817,6749,3596,31487,17588,9806,3774,0,CT
59318,77,35,23235,27065,8183,11260,14101,16299,10619,2954,0,CT
60344,78,41,1604977,14633,12696,16053,6760,9906,2845,3335,0,CT
61295,78,41,117533,13120,9498,26220,9511,6618,1537,833,51,CT
62299,54,40,14719,5414,685,294,349,583,144,42,0,CT
63310,47,48,165158,15315,2569,2134,3085,2975,1723,804,0,CT
64332,40,54,38305,6347,4417,1479,1792,2223,2835,904,0,CT
65284,24,56,218750,30444,20061,26244,7215,4729,14634,5259,0,CT
66294,23,63,391878,203963,48192,35111,47222,24616,14731,3486,0,UB
67310,10,51,225951,319585,14648,13939,22975,13343,5210,4915,0,UB
68343,1,29,471399,107232,4507,6389,10807,10500,2931,6449,0,UB
69282,17,24,51989,8486,8361,5414,3208,6176,4937,1884,0,UB
70276,23,10,451350,52556,3901,1533,5320,7928,4804,1716,0,UB
71293,37,20,498030,74346,4927,13979,7503,13766,9306,3828,0,UB
72340,63,16,27776,23755,815,1403,9374,21195,5226,4105,0,UB
73267,47,1,153081,186532,32494,7716,6463,14847,13522,2011,0,UB
74273,48,14,83725,65434,6700,10838,4491,13445,7824,5163,0,UB
75285,51,13,46963,45170,5213,2813,2080,9251,5861,1333,0,UB
76222,54,35,197554,9834,5113,6919,4105,22770,9160,1883,0,UB
77243,64,51,7904,4251,4972,4317,2975,2364,3683,1243,0,UB
78267,64,56,21441,39039,9624,10847,6750,9326,6062,8219,0,UB
79208,64,67,167743,60033,12015,25854,17502,16867,6072,7383,0,UB
80232,43,67,44536,22095,7498,5715,6788,5727,2311,2902,0,UB
81249,41,57,971635,40671,7306,20663,22265,10057,7553,9607,0,CT
82251,30,77,786422,15272,51718,11641,9627,5931,4665,1849,0,CT
83192,51,77,12246,6368,6523,4812,2705,19270,17255,7654,0,CT
84201,43,60,66194,139861,5830,4703,8379,12361,26554,22583,0,CT
85238,40,61,59813,43437,17947,18685,15260,7941,3565,1126,0,CT
86184,34,30,584312,171721,11982,7557,9546,7297,3682,2190,0,DB
87182,7,24,1483515,138620,31621,3993,11567,17417,13370,7001,0,DB
88206,21,40,9959,18392,2807,9084,6194,8341,18355,9106,0,DB
89164,21,27,70951,11761,1085,1816,4166,1568,1142,1493,0,DB
90167,56,43,15589,5436,10895,2866,8672,17121,6308,2622,0,DB
91176,64,54,14447,8323,5304,2527,1726,3209,1913,511,0,DB
92209,54,61,17489,22222,14782,5561,2505,5967,14196,4421,0,DB
93225,54,83,34717,42949,50347,13378,2110,11740,10103,6071,0,DB
