Timestamp;Attention;Meditation;Delta;Theta;LowAlpha;HighAlpha;LowBeta;HighBeta;LowGamma;HighGamma;Signal;Key
163535;60;66;3118;3180;1672;2153;2397;3730;5348;3502;0;Right
164539;56;81;38536;6510;3610;11805;2526;3946;6940;4302;0;Right
165601;56;81;888326;44471;9465;10889;1855;1974;317;1002;26;None
166502;56;81;1106099;13510;7103;13530;4995;2258;1651;645;26;None
167544;53;83;64415;12749;6083;4018;1395;6064;2600;1180;0;Left
168518;53;91;10326;4267;7662;3552;3119;4018;2676;2308;0;Left
169493;41;88;6721;10444;1117;3017;2491;2032;2633;3319;0;Left
170502;43;83;3716;5418;3614;4210;1519;2926;3063;973;0;Left
171519;51;87;6520;1293;1324;5040;3054;5282;2015;1496;0;Left
172523;51;77;5247;5251;760;3829;4194;2075;3120;2741;0;Left
173575;60;81;9439;8703;5228;4702;2598;7290;3871;1232;0;Left
174596;63;83;1144;2909;5626;1048;976;3725;2829;1805;0;Left
175524;54;80;5069;4652;3744;733;1606;2512;2926;3264;0;Left
176793;56;90;3690;1651;1591;4744;3091;2131;2784;1325;0;Left
177514;57;91;1818;2782;1958;4636;2954;4555;1720;1856;0;Left
178915;48;81;10562;10885;2040;4104;3416;2140;1922;880;0;Left
180258;41;90;646701;13285;15476;8804;5896;4995;5223;2930;0;None
180895;26;70;1431455;191911;25346;20877;19177;10307;5557;7580;0;None
181569;20;63;4802;11502;1002;2854;807;2869;2891;1750;0;None
182494;34;61;3646;6860;3009;2345;3965;7289;2594;1321;0;None
183437;35;60;5771;6479;3965;3796;759;1833;2560;1160;0;None
184452;48;64;19389;10127;2265;3185;1827;3768;2296;3998;0;None
185532;54;75;1689;4637;3640;3969;2767;5069;3079;1062;0;None
186435;44;88;2616;5897;2471;9703;2274;3379;1416;1911;0;None
187431;61;70;5690;2701;820;1651;4304;5121;1947;1539;0;None
188460;64;64;8282;10500;1457;2669;8680;4898;2821;5036;0;None
189477;56;60;4616;16668;7561;2408;2956;5005;1850;1498;0;None
190419;60;44;35252;34850;6949;7322;4132;12944;6245;3794;0;None
191448;57;53;3003;8935;10362;2955;6792;16163;4384;3832;0;None
57376;93;54;26058;7342;3054;3465;2024;2947;1518;2388;0;LButton
57388;90;50;14295;13844;1729;4652;6000;14290;4240;11313;0;None
58315;91;30;34117;43817;6749;3596;31487;17588;9806;3774;0;None
59318;77;35;23235;27065;8183;11260;14101;16299;10619;2954;0;None
60344;78;41;1604977;14633;12696;16053;6760;9906;2845;3335;0;None
61295;78;41;117533;13120;9498;26220;9511;6618;1537;833;51;None
62299;54;40;14719;5414;685;294;349;583;144;42;0;None
63310;47;48;165158;15315;2569;2134;3085;2975;1723;804;0;None
64332;40;54;38305;6347;4417;1479;1792;2223;2835;904;0;None
65284;24;56;218750;30444;20061;26244;7215;4729;14634;5259;0;None
66294;23;63;391878;203963;48192;35111;47222;24616;14731;3486;0;Up
67310;10;51;225951;319585;14648;13939;22975;13343;5210;4915;0;Up
68343;1;29;471399;107232;4507;6389;10807;10500;2931;6449;0;Up
69282;17;24;51989;8486;8361;5414;3208;6176;4937;1884;0;Up
70276;23;10;451350;52556;3901;1533;5320;7928;4804;1716;0;Up
71293;37;20;498030;74346;4927;13979;7503;13766;9306;3828;0;Up
72340;63;16;27776;23755;815;1403;9374;21195;5226;4105;0;Up
73267;47;1;153081;186532;32494;7716;6463;14847;13522;2011;0;Up
74273;48;14;83725;65434;6700;10838;4491;13445;7824;5163;0;Up
75285;51;13;46963;45170;5213;2813;2080;9251;5861;1333;0;Up
76222;54;35;197554;9834;5113;6919;4105;22770;9160;1883;0;Up
77243;64;51;7904;4251;4972;4317;2975;2364;3683;1243;0;Up
78267;64;56;21441;39039;9624;10847;6750;9326;6062;8219;0;Up
79208;64;67;167743;60033;12015;25854;17502;16867;6072;7383;0;Up
80232;43;67;44536;22095;7498;5715;6788;5727;2311;2902;0;Up
81249;41;57;971635;40671;7306;20663;22265;10057;7553;9607;0;None
82251;30;77;786422;15272;51718;11641;9627;5931;4665;1849;0;None
83192;51;77;12246;6368;6523;4812;2705;19270;17255;7654;0;None
84201;43;60;66194;139861;5830;4703;8379;12361;26554;22583;0;None
85238;40;61;59813;43437;17947;18685;15260;7941;3565;1126;0;None
86184;34;30;584312;171721;11982;7557;9546;7297;3682;2190;0;Down
87182;7;24;1483515;138620;31621;3993;11567;17417;13370;7001;0;Down
88206;21;40;9959;18392;2807;9084;6194;8341;18355;9106;0;Down
89164;21;27;70951;11761;1085;1816;4166;1568;1142;1493;0;Down
90167;56;43;15589;5436;10895;2866;8672;17121;6308;2622;0;Down
91176;64;54;14447;8323;5304;2527;1726;3209;1913;511;0;Down
92209;54;61;17489;22222;14782;5561;2505;5967;14196;4421;0;Down
93225;54;83;34717;42949;50347;13378;2110;11740;10103;6071;0;Down
94180;41;96;14564;7005;32672;8367;8465;11797;4767;7538;0;Down
95167;51;87;26743;13033;5878;2658;12327;11222;4578;4889;0;Down
96188;54;84;13948;11049;4516;3288;846;3401;3201;641;0;Down
97135;64;70;2316;20953;3891;8362;7339;8281;5151;4803;0;Down
98141;77;50;10914;18745;5052;4957;4116;22505;5724;3691;0;Down
99151;74;44;28406;40971;7320;1955;5872;19920;7630;5074;0;Down
100110;80;30;146569;50026;8003;9490;27941;21113;15085;4913;0;Down
101129;64;50;1637280;158953;159624;288898;48919;48601;8242;3260;0;None
102142;44;60;48044;45850;4009;45064;27644;10491;19529;4808;0;None
103147;29;80;14963;12538;6441;11640;3041;3549;5119;1255;0;None
104166;30;96;44514;11144;19479;29526;17437;21897;18267;5145;0;None
105107;44;80;199890;18169;2969;5526;2106;6149;1325;1570;0;None
106113;44;87;34988;47781;50945;22384;11525;12676;7668;5895;0;Right
107235;43;80;42605;104793;59327;11683;16400;16635;9374;1927;0;Right
108074;37;69;136025;64129;23287;7569;25135;17182;4781;3851;0;Right
109104;34;77;17090;58581;31547;23044;8092;17787;9081;2928;0;Right
110125;38;74;23174;24749;18339;17024;12732;9925;7204;4324;0;Right
111124;53;74;20827;21943;10735;18304;14938;18953;12591;8776;0;Right
112103;61;80;16850;17103;18999;5932;10871;17154;8355;5080;0;Right
113082;67;70;17990;17727;10409;1682;8335;8283;6341;4399;0;Right
114101;80;60;12136;17603;4598;5224;9378;11857;5294;2212;0;Right
115038;80;56;15831;14490;6371;5447;8216;9550;8203;5353;0;Right
116090;78;50;7329;28787;1346;12583;2398;15603;9761;4692;0;Right
117198;74;51;20862;28433;13993;2772;3939;8865;7439;2968;0;Right
118102;78;51;10207;17461;4251;5553;4187;16102;4876;4958;0;Right
119020;64;51;490455;148354;47732;11420;7184;27944;17968;13398;0;Right
120052;67;43;1251036;14842;3860;6748;39645;12944;9730;1451;0;None
121002;54;38;373573;33048;5666;3970;2127;2545;2199;872;0;None
122017;63;37;16209;4921;4999;3233;14611;21892;39938;12153;0;None
123025;83;37;4523;6896;3413;5493;6435;16998;15679;2398;0;None
124029;84;48;10564;4709;6844;5821;8706;14052;27497;6183;0;None
125077;81;48;86863;63922;13361;13633;32492;4327;8788;10689;0;None
126011;44;38;137814;24249;896;932;756;1188;1477;873;0;Left
127012;40;35;16970;8858;3284;1594;3306;9392;7748;5045;0;Left
128013;37;34;14926;4196;1530;6713;10204;6968;4215;2453;0;Left
128982;70;26;8428;8021;989;2753;3888;16110;5054;4579;0;Left
129988;100;40;9743;4294;4093;4534;11233;17590;10556;3329;0;Left
130993;100;44;8454;12692;5353;4965;7279;7699;4401;4021;0;Left
132015;97;38;9559;16752;2515;3865;2487;11186;13637;1910;0;Left
133037;91;54;7681;2649;10591;5158;4089;13844;5649;4642;0;Left
133989;80;50;141900;32463;858;7871;5763;19198;14576;7976;0;Left
134973;77;47;1158618;107524;31401;12836;5544;35088;16486;5144;0;Left
135998;83;51;11388;1561;1356;648;1459;3122;1000;1345;0;Left
136941;88;43;8445;4506;5596;3700;4703;17491;5949;3697;0;Left
137961;100;38;2653;3963;1198;1341;3103;22618;13058;5107;0;Left
138989;100;27;20539;4508;1619;851;2875;14329;10736;2964;0;Left
140000;100;37;82556;21165;14514;17444;9469;13142;17202;21654;0;Left
140922;74;30;806064;49886;10359;8064;18528;7716;3621;1310;0;None
141940;38;66;78589;8410;7834;22908;2837;2526;6264;7618;0;None
142958;37;74;17097;5365;1664;7330;9898;26284;17244;7526;0;None
143919;41;61;14225;19002;5374;3893;2333;12209;6672;5875;0;None
144916;41;61;1219452;221202;26189;24536;47959;26921;8317;2769;25;None
145954;43;51;1186700;51556;940;5590;9536;8300;2080;1826;0;Up
146892;63;29;9576;17934;4941;3481;4272;13525;7157;7365;0;Up
147986;63;35;4040;2055;3731;5394;3907;17624;5963;6099;0;Up
148912;61;43;19105;18676;13073;13542;8486;15583;8934;3448;0;Up
149883;75;48;7483;15925;1923;2489;4279;13010;3043;2346;0;Up
150906;80;50;10030;4952;4291;3005;5873;13077;5003;5157;0;Up
151986;77;43;9429;6127;1384;2341;2215;11046;10074;1929;0;Up
152900;83;30;754;12274;3272;2448;4577;13133;10492;5653;0;Up
153943;91;38;13500;3284;2983;2016;3109;15887;8641;13831;0;Up
154883;97;35;16089;5745;4617;5014;5561;32248;7221;5540;0;Up
155879;100;37;4837;6272;2515;3676;2604;18582;8986;5586;0;Up
156898;84;44;111934;36606;13210;11965;11479;7667;10934;4613;0;Up
157916;75;50;2842;1937;264;1845;1796;2540;2372;856;0;Up
